region,sales,units,date
South,122.58,9,2024-03-31
South,109.95,11,2024-04-01
East,152.11,28,2024-04-02
North,97.81,36,2024-04-03
North,104.94,37,2024-04-04
South,90.95,33,2024-04-05
north ,97.7,34,2024-04-06
South,109.15,33,2024-04-07
East,98.28,31,2024-04-08
East,112.09,46,2024-04-09
North,115.65,47,2024-04-10
East,138.18,32,2024-04-11
North,144.05,11,2024-04-12
north ,117.86,19,2024-04-13
north ,127.05,9,2024-04-14
north ,121.05,9,2024-04-15
South,119.21,16,2024-04-16
North,61.2,33,2024-04-17
East,101.96,34,2024-04-18
East,117.48,36,2024-04-19
South,72.64,9,2024-04-20
North,81.25,34,2024-04-21
north ,97.28,44,2024-04-22
North,117.21,29,2024-04-23
North,85.5,20,2024-04-24
North,110.78,32,2024-04-25
South,100.19,48,2024-04-26
South,97.71,34,2024-04-27
North,99.86,16,2024-04-28
East,112.65,7,2024-04-29
East,73.33,7,2024-04-30
East,86.74,8,2024-05-01
South,82.3,14,2024-05-02
South,98.72,15,2024-05-03
East,76.45,44,2024-05-04
north ,102.93,4,2024-05-05
north ,136.31,35,2024-05-06
North,103.73,33,2024-05-07
South,115.92,9,2024-05-08
South,81.3,26,2024-05-09
South,79.41,45,2024-05-10
South,147.45,11,2024-05-11
South,128.08,46,2024-05-12
north ,95.3,22,2024-05-13
north ,100.05,7,2024-05-14
North,90.97,33,2024-05-15
North,46.63,5,2024-05-16
North,96.88,11,2024-05-17
East,79.09,49,2024-05-18
South,137.5,15,2024-05-19
North,126.38,48,2024-05-20
East,100.11,30,2024-05-21
north ,97.02,21,2024-05-22
South,119.05,43,2024-05-23
East,99.0,40,2024-05-24
north ,74.03,37,2024-05-25
north ,87.27,25,2024-05-26
north ,122.09,9,2024-05-27
north ,129.06,2,2024-05-28
north ,113.82,9,2024-05-29
North,113.98,13,2024-05-30
North,87.5,18,2024-05-31
North,100.42,33,2024-06-01
East,123.82,38,2024-06-02
north ,73.46,9,2024-06-03
north ,96.33,2,2024-06-04
South,105.67,18,2024-06-05
North,78.75,10,2024-06-06
North,97.05,46,2024-06-07
South,119.83,25,2024-06-08
north ,97.76,14,2024-06-09
South,105.69,10,2024-06-10
East,104.78,13,2024-06-11
North,110.26,39,2024-06-12
North,96.05,2,2024-06-13
north ,92.33,14,2024-06-14
East,98.24,44,2024-06-15
East,101.02,38,2024-06-16
North,68.87,17,2024-06-17
north ,110.89,18,2024-06-18
East,83.45,32,2024-06-19
North,80.4,42,2024-06-20
North,118.98,40,2024-06-21
South,91.72,49,2024-06-22
East,119.85,10,2024-06-23
South,116.99,40,2024-06-24
South,103.49,16,2024-06-25
East,96.8,32,2024-06-26
East,88.09,18,2024-06-27
East,54.8,37,2024-06-28
North,104.97,26,2024-06-29
North,114.48,23,2024-06-30
North,123.27,4,2024-07-01
East,93.82,30,2024-07-02
north ,84.61,44,2024-07-03
north ,71.72,48,2024-07-04
north ,91.24,8,2024-07-05
South,99.73,14,2024-07-06
North,102.43,46,2024-07-07
East,126.96,12,2024-07-08
north ,80.3,49,2024-07-09
North,68.78,4,2024-07-10
South,69.15,31,2024-07-11
South,110.25,34,2024-07-12
East,103.85,10,2024-07-13
north ,89.14,11,2024-07-14
North,84.35,20,2024-07-15
north ,98.92,13,2024-07-16
north ,81.25,33,2024-07-17
East,94.69,16,2024-07-18
